Nama,Komentar
AT Gaming,Terimah kasih untuk kalian berdua sebagai anak sulawesi saya bangga dan respect pada kalian 🥰
Dara Ngemil,Keluar air mata bangga 😭😍
Eno AnAntA,Semangat Indonesia.. harumkan nama bangsa
Deni Malik ibrahim,"Air mata ini ikut menetes, melihat kebahagiaan tim ganda putri indonesia. Terimakasih"
RN06,Samangat semoga sukses semua amin 🙏🏻
RN06,Samangat semoga sukses semua amin 🙏🏻
absa fachry,😭😭😭terimakasih dua jagoan
Ira ervina,seluruh org indonesia bangga kalian😍😍😍😍
Ramdhan Mustofani,"This is the best gift for indonesia, thank you apri and greysia we proud of you 🙏😍"
Ega Permana,"Skor 21-15 dan 21 - 19 bila dijumlah menjadi 76 berarti kemenangan untuk perayaan 17 Agustus yang ke 76 
Luar biasa..!!😭😭😭"
daum m Totong,Menetes air mataku melihat keberhasilan mereka ... Terima kasih Yaa Allaah 😪😪😪🤭🤭🤭
Agung Hardianto,"Indonesia bangga pada kalian, bravo NKRI"
Herda Amelya,Selamat utk Gresya dan Apri.Indonesia bangga👏👏👏
Delicia Azzahra,"YA ALLAH SELAMAT KAKAK 
SELAMAT INDONESIA ❤️💪🥺"
Muh Padli,"The best, indosiar Indonesia makin jaya"
Zolaicho Marco,"Air mata jatuh dan senyum sumringah terekspresi diwajah anggota keluarga kami. 
Salaam hangat Dan semangat buat Aprl Dan Gresya, Tuhan memberkati kalian...
Indonesia bisa 💪💪💪🙏🙏🙏"
Mel Amelia,Semoga saja om deddy undang mereka ke podcast!
cupu lu,Terharu gw cuk terimakasih untuk kalian berdua kami bangga punya kalian membanggakan negri kita tercinta 💪💪💪💪🤲🤲🤲
Raja Terakhir,"THE CHAMPION 
MENANG KU SANJUNG KALAH KU DUKUNG 
TERIMA KASIH ATAS MENDALI EMAS GANDA PUTRI
A.RAHAYU & G.POLII"
YoChanneL ard,LUAAAARRR BINASA 😭
Bang Soit,Brisik komentator
Anonyme,Good very good better best
Alexandria Xandria,Eleh ni je Saye pun bise ni .
xezador,mantap. terus berjaya atlet indonesia.
Putra Riski,Komentator ny alay
PLAKPAK KOMEDI,Bismillah cek di provil komedi lucu dan kocak
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
VerRy Gaming CubeTV Yeah,Komentator nya katro....
Ryan alansyah,Merinding liat ganda putri pas menang 😭😭😭
Hikma Aliyah,🎉p
Alex's lovers,Indonesia
agus pramono,Indonesia
Dhenie Surya,Warbyasaahhh
Herdi Yanto,Alhamdulillah.. selamat buat semuanyaa yang berhasil dan belum rizkinyaa tahun depan mudah mudahan ..lebih baik... aamiinn
Alex Sander,....aku kok muak ini aja beritanya....mcm.gak ada yg lain aja....
Eflyn Appulembang,Trending
Reza Meinando,Trending
Wilda Aprilia,Trending
The Jinurs,"Alhamdulillah, Terima kasih untuk Greysia Polii dan Apriyani Rahayu atas Medali Emas nya 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩"
it's kimpark,Sh*t gw nangis lagi nontonin ini berulang kali tetep nangesss😭😭😭
Darma Elfrida Batubara,Terharu....congratulation💜💜💜
Mila_Ka,Terimakasih karena telah mengharumkan nama bangsa.... Kami Bangga
Aries,Tuhan dimuliakan melalui kemenangan 2 anak Tuhan ini. Amen.
Aeni Hanumi,"Aku terharu ngikutin awal turnamen 
Masya Allah segala puji bagi Allah  terimakasih tuhanku terimakasih gresia dan rahayu keberkahan melimpah kepada kalian terimakasih alhamdulillah"
SDN Sindangpalay-Gununghalu,Tegang degdegan selama menyaksikan pertandingan akhirnya berlinang air mata bahagia Greysia/ Apriani dapat satu-satunya emas untuk Indonesia.. kado spesial untuk HUT RI.. Merdeka💪
Lesi Lesiani,"Ini luar biasa membanggakan, sejarah yg gk akan terlupakan untuk bangsa Indonesia. Itu yg dislike kenapa yaa"
Abdu sdg jl l Manan,"Selamat Gres dan Apriani atas prestasimu Anda mengharumkan
Bangsa Indonesi Saya ucapkan
Sekali lagi Selamat"
NOBAR BAHAGIA,"Epic sebuah hal yg luar biasa..
kado untuk KEMERDEKAAN INDONESIA 77"
I. S,"Bagi Tuhan tidak ada yg tak mungkin
Bagi Tuhan tak ada yg mustahil ❤️😭"
D Hansz,"Minions' yg di unggulkan kalah..
Ini yg tidak di unggulkan malah dapet emas..hebatt👏👏👏"
vlog teh aisah,Indonesia bangga ❤️
Bagus Ajjah,"admin, jd pgen liat suasana di studio waktu itu deh pgen liat bung kus sm valen nangis"
Roel chan,Tiap puter video ini air mata qw jatuh  menetes ...thxs Apri/Greysia
Endita Widya Chastrena,"Terimakasih Gres dan Apriyani, dan segenap pelatih dan sponsor, terimakasih banyak :')"
Arizah chennell,Alhamdulillah trmksh sodaraku.... Sudah mengharumkan ngra kita ini semoga sukses yaaa dan kado terindah buat Indonesia 🇲🇨🇲🇨🇲🇨
Annisa Dyah Ramadhani,"Walaupun udh nonton pas siaran lgsg, ttp aja masih penasaran😭🙏"
siskrendy rendyemawan,"luar biasa,pengorbananmu tdk sia sia,"
Juma'in J,"Dua mendali emas di dapat dengan keringat dan air mata..
Gunung gunung emas di lepas dengan tertawa.

#abdurrasyad"
Bayu Pratama Ariyanto,Kelas 🔥🔥Kado Istimewa HUT RI 🇮🇩Terima Kasih Emas Pertama Buat Indonesia di Olympiade Tokyo. Ganda Putri Greysia Poli & Apriyani Rahayu. 🥇✊🏻
Lenri Rotes,😭❤
Ridhatul setyawan,Merindingg 😘😘
Sary Azka,Haruuu bangett 😭
Sely Adelia siregar,Terimakasih Greysia Polii dan Apriyani Rahayu hadiah yang kalian kasih untuk ulang tahun Indonesia
Teguh Muttolib,"Saya dari OGAN ILIR n seluruh rakyat INDONESIA bangga pada kalian,,,"
Jo,"Terima kasih banyak , luar biasa 🙌🙌🙌"
choko chips official 🍪🍫,Sangat membanggakan 😭👍🏻
farid aAL,Banggaaaaa se bangga bangganya😍😍😍
Tiaa,Kado ulang tahun INDONESIA yang terindah🔥🔥
prince charming,Bangga! I'm crying now
Buku Harian Sekolah YouTube,Garuda Indonesia mengibarkan sayap nya lagi go go go 🇮🇩..
Cikrak jepang,Ya alloh tak trasa menetes air mata ini!!!!
Ressy andina,Trimakasih kalian 💯
Vierza Azzahra,Ya Allah gak berasa nonton sampe nangis
Ade Setiawan Mashil,Tears of happiness...alhamdulillah.  Great job Greysia and Apriyani..proud of you both
tumi yani,"Selamat mendapat emas luar biasa anda memang ,👍👍👍👍👍👍👍👍👍👍"
Zal Baiti,Selalu berjaya dimata dunia bulu tangkis indonesia ku tercinta!!!!
Investdiri,Kapan para juara akan diberi gelar pahlawan Indonesia masa kini?
Balsi channel,"Seharusnya seperti ini anak muda Indonesia ,aku bangga sama kalian"
Mirza Pandiangan,Alhamdulillah medali emas untuk HUT RI KE-76. Selamat🇮🇩🇮🇩🇮🇩
thatha cooky,ONCE AGAIN THANK YOU SO MUCH CI GREYS DAN KA APRI
Fais Ramadhan adyasta,Congrats buat GreyAp kalian hebat..kalian juara..cetak sejarah baru raih medali emas di ganda putri  badminton Olimpiade Tokyo 2020..sukses selalu..nyampe nangis aku liat perjuangan mereka..siapa kita.. Indonesia 👍🥇🇮🇩
Dheaaaa ww45,Bikin bangga!
Gilang TV,Gue bangga tapi sedikit ngakak Ama konentator :(
Az Ra,"tangis dan haru, Selamat terimakasih GreAp Indonesia bangga pada kalian"
Tomi Sianturi,"Bagi tuhan tiada yg tak mungkin 
Puji Tuhan ..
Komentator ya kayak lagi di gereja"
gayzka,"Dari sulawesi untuk indonesia...
Salam dari surabaya"
Delvin Dolpino,Nangis sambil megang kepala anakku berdoa sama Allah anakku bisa berprestasi juga 😇
basirun siagian2020,Sedih terharu akhirnya ulang tahun negara kita dapat emas
Raka Hasanal Ihsan,Penantian LAMA SETELAH 9 TAHUN😭🇮🇩
kartika tika,Berapa kali muter Vidio ini tetap masih merinding aku
The normal Man,Mantap jiwaa🏅
Balap Lopi,Sangat bangga melihat kalian berdua
Vino 5758_,"Hadiah Untuk Ulang Tahun INDONESIA 76
DIRGAHAYU INDONESIA KE-76
MERDEKA !!!"
Sella,Thank you God for your great blessing upon this achievement for Indonesia..I am so touched..
Aldy YT,Anak-anak Jangan Lupa kerjakan Soal-soal Pelajaran Yang Ibu Udah Kirim Ke kalian yah 🙂
fadel iskandar,😭😭😭😭 terharu banget
Amazing TV,congraturation indonesia 🎉
Erika yasa,"Proud of you,you are the real champion.."
BANG ARRE,Kalau ini harus trending... Ayo pasukan trending.. Mana like nya..
Harlon S,"Selamatt.. Buat Greyap.. 
Buat Apri
Vini.. Vidi.. Vici"
Siska Widiyani,Nangisnya nular njirr.. Bravoo
Emirza Irfan,"Me : Ga kaget sih mereka bisa menang

also me : SIAPA KITA!? INDONESIA!!"
Fitrotul Ainiyyah,❤❤❤
Annasya adreena Saila,Ikut nangis bahagia ya allah makasih ya perjuangan nya ganda putri mengukir sejarah baru hadiah emas untuk indonesia di ulang thn ke 76
Lilis Momsakha,Terharu dan Bangga.
Musik Kamu,Terus semangat mengukir prestasi. Mengharumkan nama bangsa di kancah Internasional.
Febriyanti Rosmala{Febbi},Padahal udah nonton tapi tetrp aja gw nangis terharu:(
Liya Syarifah,Mantaapppp indonesia bangga
gyu~,congrats 🇮🇩❤️🔥 BANGGA BANGETTTT 🇮🇩❤️
Destri Syafitri,😭🇲🇨❤️❤️❤️
Maldini Jones,Spain master juara.thailand open juara .indonesia master juara.sekarang olimpiade juara....what a amazing
Novi Yani lestari,Ngeliat ini beberapa kali merinding teruss
Secillyca Vaneshya,parah keren bangettt proud of you guys! GGWP Greysia and Apri !!
Movie Best Scene,"0:17

Bagi Tuhan tak ada yg mustahil
Bagi Tuhan tak ada yg tak mungkin"
Bapak Ayam,"Selamat ya , kalian the besttttttt"
Masni Belopa,Kado terindah buat INDONESIA Karena bertepatan dengan ulang tahun Indonesia Dan angka kemenangan sama juga Hut RI yg 76 Thn.. Merdekaaa...
Biori Langka,Sejarah ❤️
Maria J.Selinarti,Puji Tuhan❣️
Lia Ruliani,"Terimakasih untuk kalian,,, ini kado terindah untuk HUT KEMERDEKAN INDONESIA 😍😍😍"
Deni Pradiptaa,😭😭💓💓
sila Suparna,Terharu dan bangga
sila Suparna,Terharu dan bangga
bp reyner timika,"Makasih,, gegara ini imunku naik drastis"
Keong Baik,Keong sampe nangis melihat perjuangan mereka...
Arfah jangker,"Mendali Emas didapat dengan keringat dan air mata,gunung-gunung emas dilepas dengan tertawa."
Muhammad Iqbal,"Bismillah berawal dari penonton semoga bisa jadi ditonton, saya channel pemulaa  pada mampir yaa makasih"
EllaWP Story,Bangga selamat pahlawan indonesia
Sugiono Putra,INI BARU LAYAK TRENDING 1 SETAHUN HEHEHE
aku akmal,Kado HUT tahun ini 😭❤️ Indonesia raya berkumandang disana
Hesti ulfa,menangisss yaallahh😭
umar hamdan,Mantap kalahkan batues
Otong Jonie,"perjuangan Gresya Apriyani mampu membuat 1,4 milyar penduduk chayna terdiam.. salute"
Human Error,Itu dora ngomong apa ya ke yifan. Haha.. Selamat buat greysia dan apriyani bangga udah dapat medali emas yang ga di sangka2. Padahal yang ditargetkan di ganda putra & campuran.
Anon,"Siapa kita
Indonesiaaaa.."
Jack Paimin,Terharu banget dan bangga
Triyani Risnawati,Terharu banget😭😭😭
ambo illi,"tvri gk buat kaya gini?
lebih aman utk telinga"
Irma Wulandari,INDONESIA JAYA INDONESIA BISA🇮🇩🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
Yana Wally,"Alhamdulillah Indonesia bangga dengn kalian, trimakasih telah persembhkn emas buat indonesia 🙏😭❤😘"
Rodrigo duterte,Mantap
afiah laila,Tapi Mba Dora cakep bgt disinii oii!! Wkwkw
Marszy y,Proud of you.
Arif Solih,Mantaplah indonesiaqw
Maimun Dias,Sejarah baru tercipta di olimpiade tokyo 2020. Selamat untuk rakyat indonesia.
Dunia Asyik7,Terimakasih Greys dan Apri. Kalian membuat histori... Kalian meneruskan tradisi... dan kalian menginspirasi
Nurul Fauziah,Teruskanlah harumkn indonesia
Sofhy Sofhy,Demi apa merinding
Rudik ofisial,"Membahayakan,, Indonesia,,jadi ikut menangis bahagia, tolong pemerintah yg udah mengharumkan nama Indonesia,,,klau udah tua jgan lupa  mereka kl"
Ara Raha,"Waloupun pegel ng like semua komentar kalian,tpi perjuangn mreka lbih berat untuk mndptkn emas..terimakasih untuk kado kemerdekaan ngra kita."
STORY FREE,Masih TRENDING 1 🔥
Lavender Vender,Sumpah terharu melihat
Bintang S,Indonesia Ku selalu JAYA...
Elly Abatha,"This is real PPKM
Pelan Pelan Kita Menang
Tak dibebani target, non unggulan,
Bermain lepas, konsisten, kuda hitam yg menggilas para kandidat."
Calon Penghuni Surga,"INILAH PARA PEJUANG INDONESIA............... ❤️❤️❤️❤️ 
BERKIBARLAH BENDERAKU...........  🇮🇩 🇮🇩 🇮🇩 🇮🇩"
"ARHARD - STOP - MOTION,GAMES,TUTORIAL",Terharu bngt
Uci Pramadhitya,Keren
Semesta Bertasbih,Komentatornya buat haru 😂
Alex Murai BF jaya,Bangga dan  terharu semangat 🇮🇩🇮🇩🇮🇩🇮🇩berkibar
Canimangel / (Q-Kyu),"Alhamdulillah, akhirnya emas yeahhhh!
Thank you Polii dan Rahayu"
adit koswara,Berkibarlah benderaku lambang suci gagah perwira🇮🇩
Ayu Devitasari,Wujud bela negara....mengharumkan nama Indonesia...
Siin Sanu,Gresya mengharumkan nama bangsa indonesia😐
winoni nasution,Nangis aku liatny
Gamer Indo 05,"🇮🇩🇮🇩 🥇😙
Terimakasih😭 bapak gw nangis😭"
Iwan Milan,😭😭😭👍👍👍👍
Wong Sanden Channel,selamat..dan sukses
Daud Marchelino,Kami bangga
Atek channel,Mntap bos ku
Loveani Lee,Kado terindah buat Indonesia gold medals terimakasih
Siti Nurhopipah,Indosiar tolong tayangkan korea open nanti
Anggi HRP,"Dimana penghargaan hafiz Quran seduni..MUSA Mengharumkan nama bangsa... Hafiz Quran usia 7 tahun.. 
Apapun gak di kasih sm pemerintah.. 
Jangankan uang.. 
Beasiswa musa pun gak di kasih sm. Pemerintah.."
Bungababiyu Silvia,selamat hari merdeka indenesia😭😭😭😭😭😭😭😭
Goresan Luka,Trending kan terus gasssss
suratman suratman,Im crying When saw this moment... We knew gresya and apri fighting very well from 1st until final.. They are so amazing.. 😭😭😭😭😭🇮🇩🇮🇩🇮🇩🇮🇩
NGIBUL FC,"Intinya mereka bermain tanpa beban contoh
1992 beban ada di eddy hartono/rudy gunawan yg juara Susi susanti dan alan budikusuma
1996 beban ada di tangan haryanto arbi dan susi susanti yg juara rexy/ricky
2000 beban ada di hendrawan tapi yg juara chandra/tony"
999,أَسْتَغْفِرُ اللَّهَ الْعَظِيمَ jangan lupa baca
Awie Lillo,"Njirr napa gw nangiss sih
.untung gada orng yg liat"
Femmie Pangalila,Luar biasa
Hafidz Att,"congratulation!!, this is a history for Indonesian Women double Badminton team"
Azmi Official channel,Congrats
Rini Monica,msh ada yg unlike ya bahkan untuk berita baik spt ini....
Sulastri Hendrianto,terimakasih  Srikandi Indonesia
Lita Lita,💪💪
Es Langit Channel,"Kado medali emas ter indah dari pahlawan olahraga badminton greysia polii+ Apriyani rahayu menjelang hari Kemerdekaan Indonesia lagu Indonesia raya berkunmandang & sang sakah merah putih berkibar di negeri Jepang ,,sy pedagang vcd+pecah belah keliling desa"" mengucapkan Matur nuwun Pahlawanku 🏸⚘🌹🌷 👍👍👍"
Suwanda 1111,merinding
HASAN FIIDEL,Kado untuk kemerdekaan Indonesia 17 Agustus
jiwantoro theodurus,Mujijat Kado buat NKRI tercinta Trima Kasih Ganda Putri Indonesia
Desi Asmawati,Terima kasih
Thasya Marsela,"""Ambil Bagian Sejarah""
Hmm merinding..."
Jultje Wohon,Msntap hebat baaaangeeet.
Umi Yani,terharu
Wildan Andika,Qta bangga pa dorang dua mana manado yg lain
Agus way,Mantab
Carolin Blessing Bate'e,INDONESIA.... MERAH DARAHKU PUTIH TULANGKU....GEBYAR RAYAKAN PENYAMBUTAN PEMENANG EMAS SAAT PULANG NANTI TERIMAKASIH ATAS USAHA YANG BESAR DALAM OLIMPIADE INI....
Ava,Hebatttttt
Mirza Tube ♪,JUARA !
Ikhwan Arts,yeayyy
eren SEGER,Kesini cuma gara2 pengen liat komentator versi Indonesia
Khoirul Anwar,SEKILAS INFO TERKINI : GINTING JUARA 3 👏👏👏
Co adoung,"SAMPE MENETES AIR MATAKU AKU CINTA INDONESIA DENGAN BERAGAM SUKU, AGAMA, BUDAYA DAN RAS MENJADI SATU SEMOGA DUNIA OLAHRAGA INDONESIA MENJADI JUARA DALAM AJANG OLIMPIADE DUNIA
GOD BLESS YOU"
Rizky Rahayu,Merinding banget Masha Allah..Selamat Buat Greysia-Apriani.hdiah terindah buay Indonesia
Muliadi Al-Jauzi,"Dua medali emas didapat dengan keringat dan air mata, gunung-gunung emas dilepas dengan tertawa
Abdur Arsyad"
Gudang Unik Masamba,"Terharu... semangat terus ya, terus latihan walau sudah menang..."
Dindin Rosidin,"Ga sempet nonton di tv karena kerja, liat di sini taunya menang, terharu sampe berlinang air mata, terima kasih kalian hebat"
Slamet Supriyanto,Penyelamat indonesia sekaligus penyemangat dikala indonesia menghadapi masalah wabah corona sukses slalu semoga tradisi emas olimpiade tdk hilang amin
Haza Yuhamsira,Siapa disini yang udah nonton tapi tetep di tonton berulang kali karena gak pernah bosen liatnya😭❤️🇮🇩
Amir Atmawijaya,"Berkali di tonton tetep ajah berlinang air mata
Terima kasih para atlit yang mewakili indonesia..."
Nur Fikhalita Rohman,Ikut terharu 😭😭 Indonesia proud of greysia n apriyani 👏👏👏👏👏
Jefryanto Capirosi,Bangga banget saat lagu indonesia di kumandangkan di tokyo 😭Terimaksih Tuhan Terimakasih ❤
santo b,terharu saat apri peluk coach enghian.terimakasih grey/apri & team yang terlibat.telah berjuang membawa pulang medali emas.
Anon,mantap
siti nurjanatun,Terharu jd ikut menangis..trima kasih greysaapri kalian sungguh luar biasa
SK. MamiBerto 69,Puter video berapa kalipun terharuu😭😭😭🎉🎉🎉🎉🙏🏻❤️❤️❤️❤️🇮🇩
Bromeliaaa7,Sumpah air mata tumpah.. bangga bangett terimaksih Greysia dan Rahayu
Muhammad Danny Ferry Channel,Selamat emas pertama buat Indonesia 🇮🇩🇮🇩🇮🇩🔥🔥🔥🥇🥇🥇
Emazh Wahyu story,"Entah kebetulan atau tidak jumlah skor keseluruhan ,21+19+21+15 = 76 
Dan tgl 17 agustus besuk HUT Republik Indonesia  ke 76  .Luar biasa !!

Greysia juara penghujung karirnya ,  Apriani smoga bsa lebih berprestasi lagi. Aamiin"
Dapur Martini,Kaliannn Hebatttttt.. Sehatt selaluuu🇮🇩
Farm tree,1 medali emas diraih dengan keringat dan air mata. Sementara gunung gunung emas dilepas dengan tertawa. 😢😢😢
Mami Eddy,Terharu banget sampai air mata ku keluar ikut mengis bersama sang juara. 😭😭🙏🙏 terima kasih buat perjuangan kalian sang juaraku 🌹🌹
shopee hijab ootd,Hebat...
CATATAN TIPIS,Top
Asu Kirek,Nangis gw tsik
Mari Official,Ini yang harusnya viral yang berprestasi bukan jogat joget sna sini👍
Efran Cw,"Hadiah ulang tahun terindah untuk Indonesia 😘😘
Terimakasih untuk usaha kerasmu Greysia dan Apriyani"
Shinny Pheromosa,Wow
Maulana Ahmad Syarifudin,Irama adzan
Aulia Akhmad,Sulawesi untuk Indonesia
Rahma Azhari,Aku juga juara di kasur
My Save,Tak terasa ikut nangis lihat perjuangan mereka berdua ya Allah lindungi mereka dua Sulawesi sudah mengharumkan nama Negara kita Aamiin
Arighi Austronesian,Dari Sulawesi untuk Indonesia
Tiaa,"Maaf bertanya, indonesia sudah berapa kali ya dapat medali emas?"
lae Arie,Sejarah...
Taufick Akbar,you deserve it baby
Joni Latip,Saya laki laki nangis terharu...bginilah seharus nya Indonesia berbeda beda suku agama..tpi disini semua perbedaan itu seolah tidak ada..semuanya Indonesia raya 😭😭😭😭
Noval Indra perdana,bangga poll
Botilo Egar,Trus apa maksud yg dislike.. iri kali ya
sigit mulyono,Penasaran yg dislike itu siapa yaa?
BDPmetstat 56,Selamat atas pencapaian yg luar biasa
Apa an,Asliiiiiiiiii permainannya perfect banget apalagi defense nya yang begitu luar biasa ❤️
Delisha 5E Madrid,"GREYSIA APRI! Terimakasih telah membawa harum nama Indonesia, Majulah Indonesia!"
fikrihdyt 1933,Ikutan nangis😭
farkhatun Al Zeima,"Terimakasih Greysia Polii dan apriyani:)
Ikut nangis😭"
Hanton Setiawan,"Derajat Negara ku, Negara Indonesia Makin Tinggi di mata Dunia,Allahu Akbar✊✊✊🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩"
Indah Dewi,"Selamat Dua srikandi indonesia cab olah raga badminton,Grace dan Apri semoga smakin solid...
Tunjukan pd Dunia indonesia bisa..."
Ridwan Mauludin,"MERDEKAAAAAAAAAAAAA,setidaknya buat ganda putri grec/apriyani,untuk kita belym,masih PPKM cuk😁😁😁👍👍👍👍"
Pe by,INDONESIA BANGGA punya Greysia Polii dan Apriyani ❤️
Andi Saputra,"Setelah Greysia pensiun, tidak tau nanti bagaimana nasib WD Indonesia."
shopia shifa,"Bangga bgtt sama mereka berdua😍❤️
Terharuuu🥺 indonesia bangga punya kalian berdua"
Fitri Ananda,"merinding + nangis, congrast❤️😭"
Tri Mei Lestari,menanggis terharu senang bangga bangett....
Kayra Im,Demi apapun gua nangis nontonnya anjjiiirrrr 😭 rasa bangga sm terharu😭
MASTER OF PAITO,IMUN TUBUH LANGSUNG MENINGKAT DENGER KABAR INI TERIMAKASIH SOSMED
DWI KRIsNA HADI,"masih nangis hingga liat ini, karena bangga 🇲🇨🇲🇨🇲🇨"
Erwin Niwattana,"Terima kasih buat coach ENG HIAN.

Anda luar biasa menjadikan GREYSIA-APRIYANI jadi JUARA!!"
ZEVAN G19,"Trimakasih Greysia dan apriyani ..kita Bangga sekali,selamat selamat 👍👍"
miss busy,Mau di tonton berkali2 tetep terharu padahal liat siarannya langsung
Pudin Pudin saputra,Akhir ny lagu indonesia raya berkumandang di negara org😭
Trys Seme,Ya Tuhan terimakasih 🙏🙏
Kaceng Rianto Kaceng,Terharu lihat perjuangan mereka... Terima kasih ganda putri sudah memberikan emas untuk Indonesia
Domi Maghu official,Dasar komentator😂
Chelsea Raissa fauzi,Nama bini gua apriyani jg hehehe
Linda Lusiana,Fix yang dislike bukan orang Indonesia wkwk
bam bam bam,Komentatornya ikut nangis?
Desi Julianti,Terima kasih GREYAP dan semua tim...kami bangga dgn kslian
Indo Tlogosari,Ini uangnya 5m
Icitayo Official,Mari saling gotong royong
Helyati Caca,Terharu
dewe maneh,Ratakan
Fauzi Williams The Jarambah,Merinding tjoy Alhamdulillah  🇮🇩🔥
Siti Mahfuzah,Cok nggarai nagis
Dede sulaeman,Komentator nya berisik
Betty M Simanjuntak,Dapet daymen dari kulgar ?
sellyn29,😭😭😭😭😭😭
Titus Wijang Prayoga,"Merinding, sekaligus menitihkan air mata 😭"
Asni Padu,2 hari trnding 1
mr big,Bangga dgn medali emas kecil. Gunung emas dijual AWOKWAOWK
Astro Astro,Okay selamat
andyana rico,Percumah nek di acak jncok
BSCM_PATRIOT OFFICIAL,"Alhamdulillah , Allah telah memberi sebuah hadiah yang sangat luar biasa 🔥♥️🤍🙏"
Nirma Azis Pettabilla,"Bangga banget yaa allah, ini mah best banget ❤️❤️"
Jhansen Hendrick,konten yang mengadung bawang :( terharu woyyy banggaaaaaa
Margaretha Sinaga,Terimakasih pahlawan bangsa ✓✓
Umi Asih,Ya allah terharu liat ini sampe nangis .
Rika Satriani,setiap ada berita tentang ini aku selalu menangis 😭😭😭 terharu banget
Roby Gaming,"Uploadd lebihh panjangg minnnnn, masihhh pengen nntnn 😍😍"
Aini Zaira,Mengharumkan nama Indonesia 🇮🇩❤️
HENDRI SAPUTRA hendri,Alhmdllah trima ksh srikandi2 indonesia telah mengharumkan nama indonesia dikancah dunia alhmdllah bendera merah putin berkibar ditokyo jepang lagu kebangsaan indonesia berkumandang ...
Indra Abdurahman,The best...👍👍👍
nikie suryo bastian,"Tears drop, proud... 🥳🥳🥳"
VIDEO camp,"Thanks greysia,Apriyani . the game is verry beauty"
Ali Napiah,"Kado Ulang Tahun Bangsaku 17 Agustus 2021, kemenangan yang terindah."
Hadi Siswoyo,Sdh puluhan thn China menguasai olah raga. Sekali kali memberi kesempatan ngr yg jadi ladang empuknya satu medali agar tdk frustasi.
herman Suherman,Kebanggaan Indonesia 😍😍
W randomz,"0:06 epictoss momentoss 🗿

Selamat bagi tim Ganda putri ( nenek ku nangis pas mereka menang)"
bisri mustofa,Selamat dan terimakasih bagi pahlawan indonesia...kalian telah mengibarkan sangsaka merah putih dikancah dunia
Vicha Angelivina Caroline,Selamat indonesia ku kalian luar biasa 👏❤️🇮🇩
si MEST,"Trending 1 🔥
Artinya Nasionalisme rakyat Indonesia masih tinggi 🇮🇩 🇮🇩 🇮🇩"
Haryono Haryono,Merinding.  Jayalah INDONESIA
Annisa Jewell,"Kok gua nangis yah denger nya 🥺❤️
Terharu 😭"
Falinka Suwandi,"Masih merinding cuy,,,sumpaahhh Sampek nangissss gw,,,"
Aco Yogha,siapa kita indonesia....ikut mewek..😭😭😭😭
Presiden Craft,Inilah yg membanggakan indonesia inilah yg harus dilestarikan dan pejabat korup wajib diberantas
SK. MamiBerto 69,Banggaaaaaa🔥🔥🔥😭😍😍😍🤩🥳
J Balviin,So Proud Of Them
wahyani djalil,Terharu banget pas ini  plus komentatornya ikut nangis 😕😢😢😢
El Baqie,"pasangan china sebenarnya hanya spekulasi minta challenge.... 

daripada tidak minta terus penasaran..."
Yankdy RaiArch,Terima kasih ya Allah ! Terima kasih Greysia & Apriyani ! Terima kasih Rakyat Indonesia dengan Doa nya ! Merdeka !
Aris Rizky,Jadi ikut seneng juga guanya njir❤️
Muhamad Luthfi,"Percayalah disaat upload cabang olahraga selalu tranding, disitu masyarakat merindukan atmosfer dunia olahraga."
Hendy Ndy,"Alahmdulilah indonesia juara, 👍👍👍"
Soundbest Audio,Bangga dan terharu melihat perjuangan mereka Maju Terus Indonesia ku!
28. Risma Setianingrum,"Gw ulang"" trs dan gw selalu terharu"
Rohan Dasilva,Permainan terbaik apriani rahayu
desi ratnasari,"Terharuuu merinding 😭😭 selamat kak greysia, apriyani❤❤"
Rosdiana 20,"Kenapa sampai sekarang masih berkaca2 liat ini ,ya Allah terharu sampai dada terasa sesak....komentatornya bikin nyesek"
Dedeh Alpianingrum,Dan gue masih mewek aja liat berulang x pun
maulananabayu,Ngepetnya pake challange dulu anyiink gw udah lompat dari bangku duduk lagi..... Lompat lagi akhirnya bengekklah itu VAR nya haha
EllaWP Story,Ya Allah bangga banget indonesia...
Fathir Al-Ghuroba,Alhamdulillah.. jadi ikutan nangis terharu dan bahagia lihat Polii menangis 😭
muhamad pasya,"I love you...greisa.rahayu...
Berkibarlah benderaku..."
Mancing Sanak,"Seribu orang tua bisa bermimpi, satu orang pemuda bisa mengubah dunia.😭😭😭"
Dayu Farida,"Ikut terharu....
 Bangga.  .."
Adols Kitchen,terharu akuhh
Debora Sulasto,"Tiap kali mereka serve, saya selalu mengucapkan"" angka untuk Indonesia, terimakasih Tuhan' Dan ketika angka bertambah, saya sujud dengan muka saya mencium lantai. Setelah angka  mendekat final, saya tidak mau bangun dari sujud, saya diam menantikan apa yang akan terjadi. Dan ketika terdengar sorak kemenangan, baru saya melihat ke layar TV dan  bersyukur, sampai berlinang air mata. Karena saya memang mendoakan mereka, meminta kemenangan medali emas untuk Indy melalui mereka."
Anggi Asmr,Terharu bgt 😭
arman KBM,selamat buat kalian yang sudah berjuang..
